,id,location,latitude,longitude
196,646713648577000000,Laç,41.63556,19.71306
197,646713664524000000,Laç,41.63556,19.71306
198,646713706093000000,Laç,41.63556,19.71306
199,646713713463000000,Laç,41.63556,19.71306
200,646713731847000000,Laç,41.63556,19.71306
201,646713786079000000,Laç,41.63556,19.71306
202,646713786284000000,Laç,41.63556,19.71306
203,646713857235000000,Laç,41.63556,19.71306
204,646713901674000000,Laç,41.63556,19.71306
205,646713901674000000,Laç,41.63556,19.71306
206,646714047770000000,Laç,41.63556,19.71306
207,646714055148000000,Laç,41.63556,19.71306
208,646714135125000000,Laç,41.63556,19.71306
209,646714186404000000,Laç,41.63556,19.71306
210,646714195913000000,Laç,41.63556,19.71306
211,646714228305000000,Laç,41.63556,19.71306
212,646714283507000000,Laç,41.63556,19.71306
213,646714296765000000,Laç,41.63556,19.71306
214,646714307762000000,Laç,41.63556,19.71306
215,646714347554000000,Laç,41.63556,19.71306
216,646714428806000000,Laç,41.63556,19.71306
217,646714454836000000,Laç,41.63556,19.71306
218,646714482409000000,Laç,41.63556,19.71306
219,646714490546000000,Laç,41.63556,19.71306
220,646714497051000000,Laç,41.63556,19.71306
221,646714504479000000,Laç,41.63556,19.71306
222,646714783912000000,Laç,41.63556,19.71306
223,646714830054000000,Laç,41.63556,19.71306
224,646714921901000000,Laç,41.63556,19.71306
225,646714931782000000,Laç,41.63556,19.71306
226,646715025492000000,Laç,41.63556,19.71306
227,646715049068000000,Laç,41.63556,19.71306
228,646715049680000000,Laç,41.63556,19.71306
229,646715062548000000,Laç,41.63556,19.71306
230,646715099093000000,Laç,41.63556,19.71306
231,646715101652000000,Laç,41.63556,19.71306
232,646715180995000000,Laç,41.63556,19.71306
233,646715193033000000,Laç,41.63556,19.71306
234,646715206220000000,Laç,41.63556,19.71306
235,646715216202000000,Laç,41.63556,19.71306
236,646715216907000000,Laç,41.63556,19.71306
237,646715278119000000,Laç,41.63556,19.71306
238,646715278177000000,Laç,41.63556,19.71306
239,646715315561000000,Laç,41.63556,19.71306
240,646715338475000000,Laç,41.63556,19.71306
241,646715366769000000,Laç,41.63556,19.71306
242,646715458302000000,Laç,41.63556,19.71306
243,646715462098000000,Laç,41.63556,19.71306
244,646715514686000000,Laç,41.63556,19.71306
245,646715569468000000,Laç,41.63556,19.71306
246,646715620798000000,Laç,41.63556,19.71306
247,646715635981000000,Laç,41.63556,19.71306
248,646715627777000000,Kutë,40.47333,19.76639
249,646710974645000000,Kuç,42.03972,19.52528
250,646711157186000000,Kuç,42.03972,19.52528
251,646711392826000000,Kuç,42.03972,19.52528
252,646712368643000000,Kuç,42.03972,19.52528
253,646713070845000000,Kuç,42.03972,19.52528
254,646713137388000000,Kuç,42.03972,19.52528
255,646713152798000000,Kuç,42.03972,19.52528
256,646713296918000000,Kuç,42.03972,19.52528
257,646713673923000000,Kuç,42.03972,19.52528
258,646713722179000000,Kuç,42.03972,19.52528
259,646714947763000000,Kuç,42.03972,19.52528
260,646715627777000000,Kuç,42.03972,19.52528
261,646711410996000000,Kotë,40.38944,19.60222
262,646712641797000000,Kotë,40.38944,19.60222
263,646711049501000000,Kolç,41.78667,19.67611
264,646711346571000000,Kolç,41.78667,19.67611
265,646712594398000000,Kolç,41.78667,19.67611
266,646713905180000000,Kolç,41.78667,19.67611
267,646711172122000000,Brun,39.53491,46.30732
268,646710924997000000,Sis,40.06023,44.38649
269,646711053620000000,Sis,40.06023,44.38649
270,646714011892000000,Sis,40.06023,44.38649
271,646715175090000000,Sis,40.06023,44.38649
272,646711786474000000,Berd,40.88135,45.38901
273,646712903702000000,Berd,40.88135,45.38901
274,646710893737000000,San José,-27.76979,-55.7826
275,646711828149000000,Maciá,-32.1722,-59.39947
276,646711388418000000,Colón,-32.22337,-58.14341
277,646714541851000000,Colón,-32.22337,-58.14341
278,646711676650000000,Victoria,-32.61841,-60.15478
279,646715588644000000,Victoria,-32.61841,-60.15478
280,646712125122000000,Toledo,-31.55574,-64.00947
281,646712038321000000,Santa Clara,-24.30921,-64.66253
282,646712044789000000,Santa Clara,-24.30921,-64.66253
283,646714490546000000,Santa Clara,-24.30921,-64.66253
284,646710893737000000,San José,-28.38333,-65.7
285,646710455781000000,San Francisco,-31.42797,-62.08266
286,646710507404000000,San Francisco,-31.42797,-62.08266
287,646711325797000000,San Francisco,-31.42797,-62.08266
288,646711367572000000,San Francisco,-31.42797,-62.08266
289,646711378083000000,San Francisco,-31.42797,-62.08266
290,646711423646000000,San Francisco,-31.42797,-62.08266
291,646711463357000000,San Francisco,-31.42797,-62.08266
292,646711523822000000,San Francisco,-31.42797,-62.08266
293,646711590336000000,San Francisco,-31.42797,-62.08266
294,646712096169000000,San Francisco,-31.42797,-62.08266
295,646713306221000000,San Francisco,-31.42797,-62.08266
296,646713320427000000,San Francisco,-31.42797,-62.08266
297,646713836452000000,San Francisco,-31.42797,-62.08266
298,646714434275000000,San Francisco,-31.42797,-62.08266
299,646714442638000000,San Francisco,-31.42797,-62.08266
300,646715407463000000,San Francisco,-31.42797,-62.08266
