id,created_at,"regexp_replace(text, ',+', ' ')",time_zone,latitude,longitude,country_code
615499373338849280,Mon Jun 29 12:37:40 +0000 2015,RT @iIovedogs123: This is a Minion 🚫⛔️ FREE zone⚠️ 🚧 keep those yellow 📒 goggled men AWAY 🙅🏽👎🏼❌❗️ RETWEET 👌🏼🙏🏼 if u agree😳😁 minions are com…,Lisbon,44.0314598083,-70.1044998169,US
615455675695648768,Mon Jun 29 09:44:02 +0000 2015,RT @iIovedogs123: This is a Minion 🚫⛔️ FREE zone⚠️ 🚧 keep those yellow 📒 goggled men AWAY 🙅🏽👎🏼❌❗️ RETWEET 👌🏼🙏🏼 if u agree😳😁 minions are com…,London,37.1289787292,-84.0832595825,US
615496391327129600,Mon Jun 29 12:25:49 +0000 2015,"RT @pknzinha: ""Ai quero ir no mc comprar um minion"" NÃO MIGA EU QUERO IR PELO LANCHE MESMO",Santiago,14.0211000443,121.279197693,PH
615477083616186368,Mon Jun 29 11:09:06 +0000 2015,RT @xkingpunk: j'espère qu'un jour je sortirais avec une personne qui me regardera comme un minion regarde une banane http://t.co/0TXwIGVkEh,Athens,37.9794502258,23.7162208557,GR
615461889330573312,Mon Jun 29 10:08:43 +0000 2015,RT @iIovedogs123: This is a Minion 🚫⛔️ FREE zone⚠️ 🚧 keep those yellow 📒 goggled men AWAY 🙅🏽👎🏼❌❗️ RETWEET 👌🏼🙏🏼 if u agree😳😁 minions are com…,Athens,37.9794502258,23.7162208557,GR
615486130138546176,Mon Jun 29 11:45:03 +0000 2015,RT @highsnobiety: BAPE's latest collaboration turns you into a Minion: http://t.co/fpqoIXHJFo http://t.co/LZuPQEEP9z,Athens,42.2603607178,-73.8095703125,US
615487178173386752,Mon Jun 29 11:49:13 +0000 2015,[MAJ] Moi  Moche &amp; Méchant Minion Rush revient sur OS Windows et se met à jour: MAJ du 29/06/2015 : On croyait... http://t.co/Z98tdxuyTh,Paris,43.2000007629,-80.3833312988,CA
615487902445867008,Mon Jun 29 11:52:05 +0000 2015,RT @ffhly: ???????????????????? https://t.co/vwe152GL65,Athens,35.4428482056,-84.5929870605,US
615477403364786176,Mon Jun 29 11:10:22 +0000 2015,Thomas FPVing his Minion 220 on the first day of the school holidays 👍 #FPVracing  #FPV  #mini-quads… https://t.co/jArA0214hs,Melbourne,-37.813999176,144.963317871,AU
615462088341876736,Mon Jun 29 10:09:31 +0000 2015,RT @thesecretgardvn: This is a Minion 🚫⛔️ FREE zone⚠️ 🚧 keep those yellow 📒 goggled men AWAY 🙅🏽👎🏼❌❗️ RETWEET 👌🏼🙏🏼 if u agree😳😁 minions are …,Dublin,53.3330612183,-6.2488899231,IE
615461653363171329,Mon Jun 29 10:07:47 +0000 2015,RT @iIovedogs123: This is a Minion 🚫⛔️ FREE zone⚠️ 🚧 keep those yellow 📒 goggled men AWAY 🙅🏽👎🏼❌❗️ RETWEET 👌🏼🙏🏼 if u agree😳😁 minions are com…,Madrid,41.8766517639,-93.8232803345,US
615457223507054592,Mon Jun 29 09:50:11 +0000 2015,I liked a @YouTube video http://t.co/sh2OQI15na MY RECORD TIME TO 1000+ MASS AND MINION INVASION (THE MOST ADDICTIVE GAME EVER -,London,51.5085296631,-0.125740006566,GB
615456454707970049,Mon Jun 29 09:47:08 +0000 2015,RT @leminionstore: Participez au JEU CONCOURS Minions Store  pour gagner des cadeaux ! #jeuconcours #minion http://t.co/0cvODyD3k4 http://t…,Paris,35.2920303345,-93.7299194336,US
615456436227829760,Mon Jun 29 09:47:03 +0000 2015,RT @leminionstore: Le Grand Jeu Concours Minions Store est bel et bien lancé ! #minion #retweet http://t.co/l24AF4cbxc http://t.co/jBaMqya9…,Paris,35.2920303345,-93.7299194336,US
615492517929332736,Mon Jun 29 12:10:26 +0000 2015,RT @sorrygru: ❕❗❕❗❕❗❕❗THIS IS A MINION 🆓FREE🆓 ACCOUNT❗❕❗❕❗❕❗❕ ↖↖↖THIS↖↖↖ PERSON 🚫HATES🚫 MINIONS‼‼‼,Amsterdam,52.3740310669,4.88968992233,NL
615481208663748608,Mon Jun 29 11:25:29 +0000 2015,RT @McDo_PH: Watch out for Minion Caveman and his weapon--a banana! #MinionsAtMcDo http://t.co/W0fqWumwrX,Beijing,39.9075012207,116.397232056,CN
615500155484270592,Mon Jun 29 12:40:47 +0000 2015,RT @iIovedogs123: This is a Minion 🚫⛔️ FREE zone⚠️ 🚧 keep those yellow 📒 goggled men AWAY 🙅🏽👎🏼❌❗️ RETWEET 👌🏼🙏🏼 if u agree😳😁 minions are com…,Dublin,53.3330612183,-6.2488899231,IE
615460445374312448,Mon Jun 29 10:02:59 +0000 2015,Sandra Bullock attends the Minion film premiere in LA. #MinionsPremiere #SandraBullock http://t.co/40u05wZHro,London,36.47605896,-119.44317627,US
615482353666801665,Mon Jun 29 11:30:02 +0000 2015,minion keiasaan  sepi sepi bgt. rame gak ketulungan cpk,Jakarta,-6.21462011337,106.84513092,ID
615460712140435456,Mon Jun 29 10:04:03 +0000 2015,RT @CineHaymarket: For your chance to win this fab #Minions merchandise  follow &amp; RT. Book tickets now at http://t.co/G4MUZ99ugw http://t.c…,London,36.47605896,-119.44317627,US
615459472287215617,Mon Jun 29 09:59:07 +0000 2015,A ver si os cambiáis el avatar gayses por el de un minion y así ya os pego patadas en la cabeza con más ganas.,Athens,37.4223403931,-81.0161972046,US
615458093405720577,Mon Jun 29 09:53:38 +0000 2015,#lol https://t.co/KpF8Ecp7jX #minion,Athens,37.4223403931,-81.0161972046,US
615465813554892800,Mon Jun 29 10:24:19 +0000 2015,I want a minion,Athens,35.4428482056,-84.5929870605,US
615471164920455169,Mon Jun 29 10:45:35 +0000 2015,Sb or banana float minion? Hahaha,Arizona,15.6333303452,-87.3166732788,HN
615485607406620672,Mon Jun 29 11:42:58 +0000 2015,SE VIENEN LOS MINIONS @CoronelGonorrea @EameoOk @malcomgomez @Breogan66  UD@Bracesco  MINION CARAVANERO OBVIO.SU FRASE BANNNNANNNA...,Santiago,14.0211000443,121.279197693,PH
615455730045300737,Mon Jun 29 09:44:15 +0000 2015,kyaaa Minion shoes !! https://t.co/FUOBOwhZ13,Jakarta,-6.21462011337,106.84513092,ID
615476779084591104,Mon Jun 29 11:07:53 +0000 2015,Dzień Dziecka  Mamy i Taty w Piotrowicach - W minioną sobotę w Piotrowicach odbył się festyn rodzinny z okazji Dni... http://t.co/Uq7Z8KVfeN,Warsaw,38.7834014893,-84.9016189575,US
615475646421159936,Mon Jun 29 11:03:23 +0000 2015,Ready for my cinema date with @lauren_890 to see The Minion Movie! http://t.co/o6sdOWdwZG,London,35.3289718628,-93.2529602051,US
615496512555089921,Mon Jun 29 12:26:18 +0000 2015,Minion. 😂 https://t.co/H9aIHI9RhV,Beijing,39.9075012207,116.397232056,CN
