neg,615459472287215617,Mon Jun 29 09:59:07 +0000 2015,spanish,a ver si os cambiáis el avatar gayses por el de un minion y así ya os pego patadas en la cabeza con más ganas,Athens,37.4223403931,-81.0161972046,US
neg,615458093405720577,Mon Jun 29 09:53:38 +0000 2015,english,lol URL minion,Athens,37.4223403931,-81.0161972046,US
neg,615465813554892800,Mon Jun 29 10:24:19 +0000 2015,english,i want a minion,Athens,35.4428482056,-84.5929870605,US
neg,615471164920455169,Mon Jun 29 10:45:35 +0000 2015,english,sb or banana float minion hahaha,Arizona,15.6333303452,-87.3166732788,HN
neg,615485607406620672,Mon Jun 29 11:42:58 +0000 2015,spanish,se vienen los minions AT_USER AT_USER AT_USER AT_USER udAT_USER minion caravanero obviosu frase bannanna,Santiago,14.0211000443,121.279197693,PH
neg,615455730045300737,Mon Jun 29 09:44:15 +0000 2015,english,kyaa minion shoes  URL,Jakarta,-6.21462011337,106.84513092,ID
neg,615476779084591104,Mon Jun 29 11:07:53 +0000 2015,english,dzień dziecka mamy i taty w piotrowicach - w minioną sobotę w piotrowicach odbył się festyn rodzinny z okazji dni URL,Warsaw,38.7834014893,-84.9016189575,US
neg,615475646421159936,Mon Jun 29 11:03:23 +0000 2015,english,ready for my cinema date with AT_USER to see the minion movie URL,London,35.3289718628,-93.2529602051,US
neg,615496512555089921,Mon Jun 29 12:26:18 +0000 2015,english,minion 😂 URL,Beijing,39.9075012207,116.397232056,CN
neg,615460712140435456,Mon Jun 29 10:04:03 +0000 2015,english, AT_USER for your chance to win this fab minions merchandise follow &amp;  book tickets now at URL URL,London,42.9833908081,-81.233039856,CA
neg,615456174784270337,Mon Jun 29 09:46:01 +0000 2015,english,minion squad 🍌👀 URL,Beijing,39.9075012207,116.397232056,CN
neg,615468800109056000,Mon Jun 29 10:36:11 +0000 2015,english,i liked a AT_USER video URL minion ""oh hello"" kid ""hello mother f*cker,Melbourne,53.887550354,-0.85925000906,GB
neg,615476957774352384,Mon Jun 29 11:08:36 +0000 2015,english,AT_USER iya curhat aja minion,Novosibirsk,55.0415000916,82.9346008301,RU
neg,615481464352821248,Mon Jun 29 11:26:30 +0000 2015,english, AT_USER time to pack and back to belgium minion hanging on to 200cc bigboobs 😀 URL,Madrid,19.0845909119,-103.871231079,MX
neg,615485120502452224,Mon Jun 29 11:41:02 +0000 2015,english, AT_USER bape's latest collaboration turns you into a minion: URL URL,Paris,39.6111488342,-87.6961364746,US
neg,615490169593032704,Mon Jun 29 12:01:06 +0000 2015,spanish,aclaración es cumpleaños de minion no de user (),Santiago,-29.1916694641,-54.8672218323,BR
neg,615479728061943809,Mon Jun 29 11:19:36 +0000 2015,french,mercredi on va chercher mon gros minion 😁,Ljubljana,46.0510787964,14.5051298141,SI
neg,615465034060173312,Mon Jun 29 10:21:13 +0000 2015,english,sandra bullock tampil elegan pakai sepatu minion URL,Bangkok,13.7539796829,100.501441956,TH
neg,615487901665771520,Mon Jun 29 11:52:05 +0000 2015,english, AT_USER yang on retweet gue bagi foto minion yg lucu tp salah satunya aja,Bangkok,13.7539796829,100.501441956,TH
neg,615487533259079680,Mon Jun 29 11:50:37 +0000 2015,english,jvais vomir URL,Paris,33.6609382629,-95.5555114746,US
neg,615495097514373120,Mon Jun 29 12:20:41 +0000 2015,english, AT_USER the three main minion characters are ‘kevin stua and bob’ i am not interested in a movie with three main characters n…,London,35.3289718628,-93.2529602051,US
neg,615486372179087360,Mon Jun 29 11:46:00 +0000 2015,english,AT_USER ih avanya minion :3,Athens,39.9608802795,-89.723991394,US
pos,615483161246625792,Mon Jun 29 11:33:15 +0000 2015,english,don't forget about our great range of minion products on our website too prices sta from £495: URL minionsrule,London,35.3289718628,-93.2529602051,US
neg,615501469744238592,Mon Jun 29 12:46:00 +0000 2015,english, AT_USER ❕❗❕❗❕❗❕❗this is a minion 🆓free🆓 account❗❕❗❕❗❕❗❕ ↖↖this↖↖ person 🚫hates🚫 minions‼‼,Paris,44.2597885132,-70.500617981,US
neg,615462105773383680,Mon Jun 29 10:09:35 +0000 2015,swedish, AT_USER ""minion"" by teresa medina trazos  resultados profesionales en pofolios de alumnos character design concepta URL,Athens,34.8028717041,-86.9716720581,US
neg,615483201369305088,Mon Jun 29 11:33:24 +0000 2015,english,minion movie didn't disappoint ❤️😂😄,London,37.1289787292,-84.0832595825,US
neg,615484613721337856,Mon Jun 29 11:39:01 +0000 2015,english,prestasi hari ini dapetin 1 lagi minion buat anak gw,Jakarta,-6.21462011337,106.84513092,ID
neg,615486372179087360,Mon Jun 29 11:46:00 +0000 2015,english,AT_USER ih avanya minion :3,Athens,37.4223403931,-81.0161972046,US
neg,615485120502452224,Mon Jun 29 11:41:02 +0000 2015,english, AT_USER bape's latest collaboration turns you into a minion: URL URL,Paris,35.2920303345,-93.7299194336,US
neg,615469191668215809,Mon Jun 29 10:37:44 +0000 2015,english,oh hey AT_USER didn't know you were being a minion these school holidays,Sydney,-33.8678512573,151.207321167,AU
neg,615496841443082240,Mon Jun 29 12:27:37 +0000 2015,french, AT_USER [maj] moi moche &amp; méchant minion rush revient sur os windows et se met à jour URL windowsphone ht…,Paris,43.2000007629,-80.3833312988,CA
pos,615468575588024320,Mon Jun 29 10:35:17 +0000 2015,spanish,que alguien me lleve a mcdonald's que quiero un minion 😭💛😍,Athens,39.9608802795,-89.723991394,US
neg,615485058741338112,Mon Jun 29 11:40:47 +0000 2015,spanish, AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER jaaja son lo …,Buenos Aires,-5.26082992554,-79.9641723633,PE
neg,615454393018753024,Mon Jun 29 09:38:56 +0000 2015,french,il me faut une boîte de tic-tac minion,Paris,38.2098007202,-84.2529907227,US
neg,615490514499031041,Mon Jun 29 12:02:28 +0000 2015,english,goseemovies AT_USER minion trio join super-villain plot to take over world  dir: pierrecoffin kylebalda; star: AT_USER,London,51.5085296631,-0.125740006566,GB
neg,615465220849283072,Mon Jun 29 10:21:58 +0000 2015,english,minion"" 👶 😂,Beijing,39.9075012207,116.397232056,CN
neg,615486973659230208,Mon Jun 29 11:48:24 +0000 2015,english, AT_USER public service announcement: the minion movie is revisionist bullcrap gru created the minions URL,Rome,40.8830909729,-89.5025863647,US
neg,615477739575906304,Mon Jun 29 11:11:42 +0000 2015,portuguese,AT_USER sige sige ang cutee nung vampire na minion e hahaha,Singapore,1.28966999054,103.850067139,SG
neg,615482513331499008,Mon Jun 29 11:30:40 +0000 2015,spanish, AT_USER consigue un minion bailarín con tus cereales URL URL,Athens,35.4428482056,-84.5929870605,US
neg,615488427329458176,Mon Jun 29 11:54:10 +0000 2015,english, AT_USER bape's latest collaboration turns you into a minion: URL URL,Athens,39.9608802795,-89.723991394,US
neg,615486564009910272,Mon Jun 29 11:46:46 +0000 2015,french,instashot nocrop minionsthemovie a minion lisa pdt ce temps sur instagram URL,Paris,38.2098007202,-84.2529907227,US
neg,615490039158542336,Mon Jun 29 12:00:35 +0000 2015,english, AT_USER fancy sandra bullock's minion shoes they're being auctioned off: URL URL,Dublin,42.9075813293,-72.0625762939,US
pos,615499298181148673,Mon Jun 29 12:37:22 +0000 2015,spanish, AT_USER formasfrikisdedeciequiero AT_USER eres para mi lo que una banana para un minion,Athens,39.9608802795,-89.723991394,US
